epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.411073,0.174716,1.320333,0.255734,1.339748,0.237707
2,1.305482,0.293607,1.31464,0.262138,1.353162,0.222365
3,1.272247,0.329116,1.278541,0.302104,1.300233,0.282011
4,1.250272,0.352091,1.264929,0.316884,1.294269,0.288582
5,1.237632,0.365126,1.266531,0.315153,1.292488,0.290538
6,1.225621,0.377388,1.263335,0.318605,1.292496,0.29053
7,1.215335,0.387796,1.257578,0.324801,1.288647,0.294749
8,1.204471,0.398692,1.267827,0.313752,1.294414,0.288423
9,1.19652,0.406604,1.254052,0.328582,1.281303,0.302765
10,1.120511,0.4796,1.105329,0.478392,1.145735,0.442501
11,0.939332,0.634285,1.027409,0.549341,1.044579,0.536597
12,0.852944,0.69846,0.994005,0.578169,1.016564,0.561121
13,0.793033,0.739333,0.960423,0.60619,0.987319,0.586009
14,0.747294,0.768534,0.945915,0.617998,0.977929,0.593846
15,0.714437,0.788441,0.928334,0.632066,0.950497,0.616313
16,0.682745,0.806794,0.929101,0.631458,0.946645,0.619416
17,0.65649,0.821367,0.917537,0.640575,0.93955,0.6251
18,0.640153,0.830147,0.90027,0.653975,0.925981,0.63585
19,0.613396,0.844049,0.899157,0.654831,0.922605,0.638501
20,0.599274,0.851148,0.903069,0.65182,0.924833,0.636753
21,0.55522,0.872229,0.886533,0.664454,0.911999,0.646764
22,0.536901,0.880521,0.887994,0.663348,0.911749,0.646958
23,0.526044,0.885304,0.890687,0.661303,0.912037,0.646735
24,0.517163,0.889144,0.901346,0.653148,0.929458,0.633111
25,0.510748,0.891877,0.90077,0.653591,0.92119,0.639609
26,0.503938,0.894741,0.889124,0.662491,0.910659,0.647802
27,0.4988,0.896877,0.886145,0.664748,0.910037,0.648283
28,0.492149,0.899608,0.890158,0.661705,0.916523,0.643251
29,0.487145,0.901639,0.898205,0.655561,0.92454,0.636983
30,0.482043,0.903689,0.882789,0.667283,0.912633,0.646273
31,0.460727,0.912019,0.885421,0.665296,0.908038,0.649826
32,0.453651,0.9147,0.888837,0.662708,0.913748,0.645408
33,0.451362,0.915559,0.900478,0.653815,0.926327,0.635578
34,0.447813,0.916881,0.892582,0.65986,0.914839,0.644561
35,0.44498,0.91793,0.887294,0.663878,0.909263,0.64888
36,0.443418,0.918505,0.894572,0.658341,0.917959,0.642132
37,0.439561,0.919917,0.891665,0.660558,0.915936,0.643708
38,0.438033,0.920472,0.893331,0.659289,0.91881,0.641469
39,0.434531,0.921739,0.898862,0.655056,0.913322,0.645739
40,0.433253,0.922199,0.896623,0.656773,0.917286,0.642657
