epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.426209,0.154146,1.337455,0.236305,1.36149,0.235771
2,1.315091,0.280814,1.308131,0.269427,1.328282,0.272597
3,1.279837,0.318856,1.307552,0.270073,1.299231,0.304067
4,1.268867,0.330484,1.28162,0.298738,1.289303,0.314662
5,1.24782,0.35251,1.261401,0.32069,1.286289,0.317863
6,1.239624,0.360987,1.267718,0.313869,1.277774,0.326864
7,1.230105,0.370764,1.26498,0.31683,1.258609,0.346904
8,1.219127,0.381945,1.253813,0.328838,1.253309,0.352394
9,1.207223,0.393956,1.253381,0.329301,1.250099,0.355707
10,1.200044,0.401143,1.245873,0.337312,1.249144,0.356691
11,1.172528,0.428291,1.243044,0.340318,1.233591,0.37261
12,1.163609,0.436954,1.222519,0.361924,1.226994,0.379303
13,1.10672,0.490663,1.147481,0.43785,1.13862,0.465494
14,1.010702,0.575209,1.102633,0.480933,1.107459,0.494349
15,0.944476,0.629054,1.079946,0.502073,1.073618,0.52478
16,0.893327,0.668144,1.082487,0.499727,1.073914,0.524519
17,0.853868,0.696813,1.076189,0.505531,1.069387,0.528518
18,0.826137,0.716186,1.040407,0.537866,1.022672,0.568811
19,0.800927,0.733243,1.080294,0.501752,1.06205,0.534966
20,0.778238,0.748143,1.04742,0.531614,1.021827,0.569523
21,0.732871,0.776651,1.023996,0.55233,1.006978,0.581944
22,0.70952,0.790657,1.020652,0.555249,1.012643,0.577227
23,0.698556,0.797077,1.02047,0.555407,1.014316,0.575828
24,0.686774,0.803864,1.018535,0.557092,1.012368,0.577456
25,0.677907,0.808896,1.030356,0.546752,1.018576,0.572258
26,0.668152,0.814356,1.008872,0.565456,1.008818,0.580414
27,0.662744,0.817349,1.011223,0.563429,1.016337,0.574137
28,0.652124,0.823157,1.008422,0.565844,0.996508,0.590592
29,0.646481,0.826204,1.022066,0.554016,1.00903,0.580238
30,0.638307,0.830571,1.023948,0.552372,1.016588,0.573926
