epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.41174,0.172119,1.315509,0.261162,1.357485,0.233183
2,1.316485,0.280071,1.284336,0.295763,1.32237,0.272341
3,1.276272,0.32338,1.293316,0.28588,1.332093,0.261602
4,1.253509,0.3473,1.299426,0.279118,1.319607,0.275379
5,1.235439,0.365983,1.267785,0.313796,1.289492,0.308075
6,1.222314,0.379383,1.260409,0.321758,1.297183,0.299797
7,1.209506,0.392321,1.242467,0.34093,1.270401,0.328411
8,1.203964,0.397877,1.245616,0.337585,1.271973,0.326748
9,1.191542,0.410237,1.249147,0.333824,1.285475,0.312379
10,1.184041,0.41764,1.232331,0.35164,1.273735,0.324881
11,1.157639,0.443321,1.224565,0.359786,1.254165,0.345467
12,1.15071,0.449965,1.23767,0.34601,1.26586,0.333203
13,1.145161,0.455257,1.216571,0.368118,1.24283,0.357245
14,1.141604,0.458636,1.22137,0.363122,1.248937,0.350913
15,1.13561,0.464306,1.209437,0.375506,1.240869,0.359272
16,1.130143,0.469451,1.229625,0.354484,1.256619,0.342904
17,1.126216,0.473132,1.209892,0.375036,1.24358,0.35647
18,1.124247,0.474972,1.213475,0.371329,1.241929,0.358177
19,1.119884,0.47904,1.20765,0.37735,1.238923,0.36128
20,1.115063,0.483516,1.203799,0.381315,1.234717,0.36561
21,1.093451,0.503343,1.194848,0.390481,1.226693,0.373829
22,1.084666,0.511291,1.193198,0.392163,1.227287,0.373221
23,1.079385,0.516038,1.184964,0.400524,1.213379,0.387347
24,1.074728,0.520205,1.183718,0.401784,1.219783,0.380862
25,1.069558,0.524811,1.178584,0.406961,1.216029,0.384668
26,1.063502,0.530176,1.17782,0.40773,1.20415,0.396631
27,1.040169,0.550566,1.147772,0.437565,1.191422,0.409319
28,0.996104,0.587839,1.125095,0.459569,1.156275,0.443655
29,0.954965,0.62118,1.119292,0.465129,1.142584,0.456752
30,0.908627,0.657051,1.058541,0.521615,1.102624,0.494087
31,0.837436,0.708686,1.043487,0.535125,1.066973,0.526273
32,0.802617,0.732407,1.033054,0.544375,1.054635,0.537165
33,0.772072,0.752387,1.028071,0.54876,1.053722,0.537966
34,0.751823,0.765205,1.009771,0.564681,1.028348,0.55995
35,0.725566,0.781319,1.005004,0.568782,1.0348,0.554411
36,0.705865,0.793033,1.008091,0.566129,1.027511,0.560666
37,0.682863,0.806302,1.006113,0.567829,1.031834,0.556962
38,0.666056,0.815719,0.995187,0.577165,1.025636,0.562268
39,0.654578,0.822016,0.999192,0.573755,1.024018,0.563648
40,0.633624,0.833229,0.983152,0.58733,1.021388,0.565886
