epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.425498,0.151328,1.326319,0.248969,1.364688,0.260921
2,1.317642,0.274893,1.29713,0.281662,1.311585,0.317321
3,1.28789,0.307269,1.318186,0.258152,1.354204,0.272234
4,1.263736,0.33301,1.267274,0.31435,1.28601,0.343684
5,1.247452,0.350088,1.27723,0.303534,1.290538,0.339055
6,1.23239,0.365688,1.265745,0.316003,1.283523,0.346221
7,1.223512,0.374794,1.273074,0.308059,1.286289,0.3434
8,1.212976,0.385515,1.255913,0.326588,1.277583,0.352258
9,1.207171,0.391382,1.24518,0.338049,1.271827,0.358081
10,1.197803,0.400792,1.249243,0.333722,1.267916,0.362023
11,1.172347,0.42599,1.24603,0.337145,1.25768,0.372282
12,1.161272,0.436785,1.230448,0.353619,1.247707,0.382198
13,1.155238,0.442622,1.21787,0.366767,1.23845,0.391332
14,1.149277,0.448359,1.225413,0.358899,1.23963,0.390171
15,1.143,0.454369,1.216065,0.368642,1.236876,0.392878
16,1.139262,0.457932,1.212661,0.372172,1.236764,0.392988
17,1.137584,0.459527,1.219349,0.365228,1.238297,0.391482
18,1.132967,0.463906,1.219881,0.364674,1.236716,0.393035
19,1.12784,0.468746,1.203894,0.381218,1.234516,0.395193
20,1.126093,0.470391,1.207579,0.377423,1.232281,0.39738
21,1.109927,0.485488,1.201873,0.383294,1.227208,0.402332
22,1.103221,0.491686,1.208057,0.37693,1.230121,0.399491
23,1.099559,0.495055,1.206819,0.378207,1.220662,0.408691
24,1.098276,0.496233,1.200282,0.384925,1.220175,0.409162
25,1.093612,0.500503,1.206237,0.378806,1.227459,0.402087
26,1.09079,0.503077,1.20578,0.379277,1.230943,0.398688
27,1.088258,0.505382,1.211443,0.373433,1.223359,0.406074
28,1.084748,0.508566,1.206303,0.378739,1.219531,0.409786
29,1.080874,0.512071,1.216407,0.368288,1.226784,0.402745
30,1.07954,0.513274,1.205306,0.379765,1.219586,0.409732
31,1.060987,0.52986,1.186594,0.398873,1.205041,0.423728
32,1.056181,0.534109,1.191065,0.394335,1.204547,0.4242
33,1.052345,0.537487,1.1905,0.394909,1.208986,0.419949
34,1.049682,0.539826,1.192178,0.393202,1.20314,0.425544
35,1.047668,0.54159,1.18919,0.39624,1.20412,0.424609
36,1.043112,0.545568,1.192963,0.392403,1.202478,0.426177
37,1.040919,0.547477,1.184768,0.400722,1.193547,0.434669
38,1.039608,0.548616,1.177712,0.407839,1.196202,0.432151
39,1.036024,0.551723,1.179951,0.405586,1.194584,0.433686
40,1.032757,0.554546,1.177056,0.408498,1.190183,0.437851
