epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.412689,0.170068,1.33756,0.236185,1.342294,0.25781
2,1.310616,0.285667,1.31096,0.266262,1.30312,0.300498
3,1.276496,0.322377,1.277375,0.303376,1.264666,0.341173
4,1.253945,0.346108,1.29011,0.289417,1.291824,0.312572
5,1.241273,0.359257,1.26619,0.315522,1.265896,0.339891
6,1.228694,0.372178,1.25122,0.331611,1.251029,0.355304
7,1.146656,0.453216,1.116212,0.468069,1.119746,0.483513
8,1.001441,0.582939,1.049698,0.529575,1.034452,0.5592
9,0.899264,0.663702,0.988921,0.582473,0.988832,0.597223
10,0.83845,0.70765,0.959411,0.607019,0.952002,0.626667
11,0.75977,0.759944,0.952171,0.612928,0.948603,0.629329
12,0.729271,0.778829,0.934545,0.627126,0.933016,0.64141
13,0.711716,0.78935,0.954764,0.610817,0.947507,0.630184
14,0.694881,0.799197,0.927287,0.632895,0.923285,0.648851
15,0.678997,0.808272,0.966604,0.601105,0.959342,0.620888
16,0.669248,0.813738,0.927345,0.63285,0.931356,0.642685
17,0.65836,0.81975,0.938901,0.623642,0.939413,0.636476
18,0.645178,0.826896,0.948811,0.615655,0.940736,0.635451
19,0.638138,0.830653,0.933204,0.628195,0.936697,0.638575
20,0.630596,0.834632,0.929288,0.631309,0.930359,0.643449
21,0.60179,0.849395,0.957451,0.608623,0.948293,0.629571
22,0.591868,0.85432,0.961655,0.605179,0.952288,0.626443
23,0.584664,0.857845,0.946669,0.617389,0.939851,0.636137
24,0.577748,0.861188,0.943647,0.619828,0.926542,0.646369
25,0.573732,0.863111,0.945831,0.618066,0.9248,0.647698
26,0.568884,0.865415,0.940953,0.621995,0.93223,0.642014
27,0.564048,0.867694,0.949068,0.615447,0.934163,0.640528
28,0.560229,0.869479,0.941408,0.62163,0.933871,0.640752
29,0.556158,0.871369,0.962039,0.604864,0.939974,0.636042
30,0.552841,0.872899,0.957009,0.608985,0.94448,0.632544
