epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.402092,0.180484,1.314619,0.262161,1.363367,0.25
2,1.298515,0.297092,1.296469,0.282394,1.348477,0.266293
3,1.264888,0.333027,1.30894,0.268522,1.361109,0.252482
4,1.242874,0.35604,1.274927,0.306043,1.344716,0.270381
5,1.225005,0.374424,1.24713,0.335974,1.30064,0.317426
6,1.212728,0.3869,1.244082,0.339215,1.307418,0.310293
7,1.196321,0.403377,1.240279,0.343249,1.30093,0.317122
8,1.189706,0.409957,1.243647,0.339677,1.301872,0.316133
9,1.179703,0.419837,1.238412,0.345225,1.290511,0.328015
10,1.172653,0.426751,1.254103,0.328528,1.312626,0.304788
11,1.142999,0.455377,1.227223,0.357004,1.278168,0.340809
12,1.133791,0.464116,1.222487,0.361956,1.273724,0.345385
13,1.127506,0.470041,1.214815,0.36994,1.278451,0.340517
14,1.123367,0.473925,1.21136,0.373519,1.269919,0.34929
15,1.115597,0.481177,1.204952,0.38013,1.259743,0.359676
16,1.110342,0.486053,1.210772,0.374127,1.261383,0.358008
17,1.105506,0.490521,1.212292,0.372555,1.278039,0.340941
18,1.100424,0.495194,1.212433,0.372408,1.263063,0.356297
19,1.096924,0.4984,1.202351,0.382802,1.247812,0.371748
20,1.092209,0.502702,1.211944,0.372915,1.271488,0.347681
21,1.067595,0.524864,1.192703,0.392668,1.2503,0.36924
22,1.057497,0.53381,1.182719,0.402793,1.233478,0.386099
23,1.052171,0.538494,1.172139,0.41343,1.234271,0.38531
24,1.045188,0.5446,1.179872,0.405665,1.233272,0.386304
25,1.039552,0.549497,1.182613,0.402901,1.230777,0.388785
26,1.031936,0.556075,1.160758,0.424765,1.203287,0.415783
27,1.008173,0.576284,1.140928,0.444251,1.191768,0.426915
28,0.975549,0.603263,1.127554,0.457205,1.17387,0.443999
29,0.936507,0.634383,1.105369,0.478353,1.149973,0.466406
30,0.894405,0.666518,1.060087,0.520217,1.125918,0.488496
31,0.829654,0.713055,1.041389,0.536993,1.100746,0.511112
32,0.797103,0.73513,1.024352,0.552019,1.082067,0.527563
33,0.774872,0.749698,1.015401,0.559813,1.069629,0.538362
34,0.752395,0.764008,1.014355,0.56072,1.06222,0.544735
35,0.73242,0.776373,1.009493,0.564921,1.064848,0.542479
36,0.712911,0.788127,0.996713,0.575867,1.054195,0.551588
37,0.69812,0.796828,0.994945,0.57737,1.044116,0.560121
38,0.679663,0.807428,0.989156,0.582274,1.035933,0.566989
39,0.666139,0.815016,0.985181,0.585625,1.035492,0.567358
40,0.653479,0.821981,0.988206,0.583077,1.028399,0.573265
