epoch,RMSE_train,R2_train,RMSE_test,R2_test,RMSE_dev,R2_dev
1,1.422207,0.158399,1.325101,0.250348,1.315672,0.290312
2,1.313193,0.282474,1.301203,0.277144,1.309671,0.296772
3,1.279305,0.319028,1.286953,0.29289,1.289304,0.318474
4,1.254449,0.345234,1.28757,0.292212,1.284917,0.323104
5,1.23539,0.364978,1.258002,0.324347,1.261475,0.347578
6,1.222594,0.378065,1.260297,0.321878,1.265126,0.343795
7,1.207948,0.392877,1.247412,0.335674,1.241792,0.367778
8,1.199346,0.401493,1.245734,0.33746,1.256675,0.352533
9,1.194895,0.405927,1.254401,0.328208,1.2533,0.356005
10,1.188656,0.412114,1.240965,0.342523,1.248582,0.360845
11,1.165371,0.434921,1.228849,0.355299,1.225116,0.384644
12,1.154962,0.444971,1.229,0.35514,1.230151,0.379576
13,1.147659,0.451968,1.232548,0.351412,1.228243,0.381499
14,1.139848,0.459402,1.21571,0.369011,1.224593,0.38517
15,1.134114,0.464827,1.218867,0.36573,1.224703,0.385059
16,1.13011,0.4686,1.220484,0.364046,1.219206,0.390566
17,1.103012,0.493778,1.175298,0.410264,1.172986,0.435899
18,1.037672,0.551976,1.126949,0.457786,1.123483,0.482506
19,0.973447,0.605719,1.10731,0.47652,1.101223,0.50281
20,0.919901,0.647903,1.086643,0.495878,1.071406,0.52937
21,0.845308,0.70269,1.047391,0.531641,1.04409,0.553062
22,0.812848,0.725084,1.038895,0.539208,1.032369,0.56304
23,0.79151,0.739329,1.015526,0.559705,1.002326,0.588102
24,0.768716,0.754126,1.0091,0.565259,0.998151,0.591526
25,0.749361,0.766351,1.013524,0.561439,0.999941,0.59006
26,0.73319,0.776327,0.999462,0.573524,0.982388,0.604325
27,0.71618,0.786585,0.993169,0.578878,0.987194,0.600445
28,0.702576,0.794616,0.994972,0.577347,0.981054,0.6054
29,0.690119,0.801834,1.000001,0.573064,0.984475,0.602643
30,0.681316,0.806857,1.008063,0.566153,0.980801,0.605603
