RXN,pred_kcat
ACCOAC,5.549795749883404
ACKr,1105.2496066097692
ACOATA,0.9600080836781065
ENO,46.55458204304154
FBA,0.04069167189148542
G6PDHy,37.525450868736684
GALU,5.410845856725196
GAPD,152.94096320522237
GLCpts,0.09090811800055285
LDH_L,322.50757149352927
MACPMT,0.21197552521680052
PDH,58.53374941459875
PFK,1.7397858767418701
PFL,229.54923248054058
PGDH,32.256361304308946
PGI,12.987969048729315
PGK,28.015103094920043
PGL,2.6731578401049463
PGM,830.3801386367004
PGMT,6.304638736241501
PTAr,1.8831833164384981
PYK,4.627852664478558
UDPG4E,0.21287464023519023
