RXN,pred_kcat
ACCOAC,6.29066786661798
ACKr,1289.5426902194106
ACOATA,0.8171802126456513
ENO,53.12083670798457
FBA,0.0657631781085534
G6PDHy,41.8727911509501
GALU,5.483932644503187
GAPD,188.21010803934982
GLCpts,0.08213711716708443
LDH_L,316.2492935201337
MACPMT,0.23449058656488608
PDH,56.294781134303484
PFK,1.3001782329964948
PFL,192.66482706876076
PGDH,28.166091253891125
PGI,11.716559221123228
PGK,23.531616880417634
PGL,2.6083410239187876
PGM,919.4162641527136
PGMT,5.149154986151958
PTAr,1.6319156789105587
PYK,4.0475138544724745
UDPG4E,0.1831939812372448
