RXN,pred_kcat
ACCOAC,36.56556799748111
ACKr,343.39164799436696
ENO,81.5250815677511
FBA,4.2901809982373615
GALK2,203.6866586912199
GALM,4.46299595272434
GALT,57.16205770223636
GALU_f,6.062140993692195
GALU_r,14.4647001083737
GAPD,0.8909336576462471
HEX1,42.25739996067221
LACZ,6.743119853836922
LCTSGALex,9.886763054307686
LDH_L,355.9951276381555
PDH,0.37970539079780186
PFK,26.239738220077186
PFL,118.16523907990424
PGI,3.2934798825532354
PGK,40.59731037950051
PGM,429.80640788464837
PGMT_f,3.9772829366331637
PGMT_r,1.6256916384641948
PTAr,0.5675520543299933
PYK,7.8325707776991695
UDPG4E_f,3.646514677743626
UDPG4E_r,3.6465156769165934
