RXN,pred_kcat
ACCOAC,38.13365946647009
ACKr,307.2030802884495
ENO,68.80116941323028
FBA,3.428666119830385
GALK2,250.84598143472877
GALM,4.385656871554501
GALT,47.033935904912155
GALU_f,4.519902587084743
GALU_r,12.224679363527375
GAPD,0.7950604716568557
HEX1,42.53863833594989
LACZ,6.351891279591095
LCTSGALex,8.208268723563437
LDH_L,351.0247001179216
PDH,0.37638058072240704
PFK,30.052590108653288
PFL,120.55926733162143
PGI,3.3249761770792583
PGK,37.01856469254195
PGM,373.7367408207755
PGMT_f,4.243327266417597
PGMT_r,1.6185599764152654
PTAr,0.6552347501169868
PYK,6.352239996775444
UDPG4E_f,2.6255028254993467
UDPG4E_r,2.625503188225992
